model_name,tokenizer_name,method,instr_mode,instr_fixed_id,epochs,lr,wd,train_bs,eval_bs,fp16,bf16,early_stopping_patience,early_stopping_threshold,early_stopping_enabled,num_beams,max_gen_len,max_src_len,max_tgt_len,output_dir,elapsed_sec,q_rouge1,q_rouge2,q_rougeL,q_bleu,q_bleu_p1,q_bleu_p2,q_bleu_p3,q_bleu_p4,q_bleu_bp,q_bleu_len_ratio,q_bleu_pred_len,q_bleu_ref_len,q_chrf,a_rouge1,a_rouge2,a_rougeL,a_bleu,a_bleu_p1,a_bleu_p2,a_bleu_p3,a_bleu_p4,a_bleu_bp,a_bleu_len_ratio,a_bleu_pred_len,a_bleu_ref_len,a_chrf,a_in_ctx,qa_format_ok
google/mt5-small,google/mt5-small,pipeline,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_small_pipeline_ckpt,2368.3062686920166,0.44279403527547934,0.18465914452196233,0.31777524854611616,0.07798555409830496,0.23124132778311451,0.09572263400608652,0.0524279091694822,0.031872344834732155,1.0,1.3618392363971124,56214.0,41278.0,26.29260357257946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/mt5-small,google/mt5-small,multitask,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_small_multitask_ckpt,4719.554365158081,0.4446039978877383,0.18090713739845948,0.31815262630832264,0.07006944531765713,0.21841406768414068,0.08738959168445347,0.046240040746534726,0.027312169109917624,1.0,1.4603420708367654,60280.0,41278.0,26.096621826898854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/mt5-small,google/mt5-small,end2end,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_small_end2end_ckpt,2458.5068192481995,0.38722913121267266,0.12107280707136286,0.26489055379713833,0.03477841063119056,0.13863221267672327,0.04382419802980551,0.0206532670640878,0.01165928801018861,1.0,1.7906633073307816,73915.0,41278.0,21.442800995471195,0.19729701539005456,0.08798001536749946,0.15962186448170101,0.09447797728043963,0.13115067968600422,0.09326619787597303,0.0832233307751343,0.07826767545003914,1.0,1.3338562568405692,36561.0,27410.0,18.6977399270519,0.6528458349038824,1.0
vinai/bartpho-syllable,vinai/bartpho-syllable,pipeline,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_syllable_pipeline_ckpt,1408.4174287319183,0.5653836190844115,0.3357960837481083,0.4387370536793828,0.16310352862507949,0.3841656717032402,0.20348394120849211,0.12033185431687927,0.07523572712277506,1.0,1.176849653568487,48578.0,41278.0,36.97330607277477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
vinai/bartpho-syllable,vinai/bartpho-syllable,multitask,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_syllable_multitask_ckpt,2798.9058237075806,0.5691203646291101,0.33726957216716,0.441445367504086,0.17131113475016066,0.40103591010554146,0.21299149229707978,0.12664985185003796,0.07961449821914938,1.0,1.1178593924124232,46143.0,41278.0,36.90556168269485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
vinai/bartpho-syllable,vinai/bartpho-syllable,end2end,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_syllable_end2end_ckpt,1361.169151544571,0.42520879996223593,0.15522829555276768,0.30400395250216306,0.06878626177286855,0.2411112676717862,0.08677903278319016,0.04238652215902994,0.025243335355110766,1.0,1.0315906778429187,42582.0,41278.0,21.85638736538833,0.24606443804939188,0.11997142672221844,0.2045453104590899,0.09537495271820941,0.1272182205947447,0.09485964427633396,0.08534697449013932,0.08033751684038858,1.0,1.8132798248814301,49702.0,27410.0,22.26449746394837,0.9121748963437618,1.0
VietAI/vit5-base,VietAI/vit5-base,pipeline,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/vit5_base_pipeline_ckpt,1059.9433324337006,0.5764515825592451,0.3423979537462594,0.4499605172738884,0.18928458809624596,0.45550874183212653,0.2437270170884707,0.14642742710669657,0.0931877012437654,0.9594445924686098,0.9602451669170018,39637.0,41278.0,36.98475813130961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VietAI/vit5-base,VietAI/vit5-base,multitask,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/vit5_base_multitask_ckpt,2307.9423377513885,0.5706342753583584,0.33962106883779253,0.44712130284441237,0.18777922115993959,0.4509179988382958,0.24171719359029883,0.14607331369747165,0.09254693722738479,0.9584357878579771,0.9592761277193662,39597.0,41278.0,36.56593509549882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VietAI/vit5-base,VietAI/vit5-base,end2end,na,-1,10,2e-05,0.01,16,16,0,1,2,0.0,1,4,128,512,128,checkpoints/vit5_base_end2end_ckpt,1437.0312521457672,0.4211095016483404,0.14800112939509974,0.2978198627347941,0.06331964613586374,0.25617879278862227,0.08625448523323213,0.039699794502188995,0.0234445737938171,0.940263577399074,0.9419787780415718,38883.0,41278.0,21.078359922283123,0.2407075801672005,0.115669453748381,0.2036523809964739,0.10332107572774683,0.13661274933990103,0.10215484722746133,0.09250294715192255,0.08827747384076061,1.0,1.6442539219263044,45069.0,27410.0,22.141988187965737,0.94647568790049,1.0
vinai/bartpho-word,vinai/bartpho-word,pipeline,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_word_pipeline_ckpt,1371.1283745765686,0.5477905884816499,0.3095897040339324,0.42075564614092154,0.16239984373923835,0.39966547304937805,0.2045985676592537,0.11824888266652307,0.07193597958769463,1.0,1.0283443965308396,42448.0,41278.0,34.389569883731134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
vinai/bartpho-word,vinai/bartpho-word,multitask,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_word_multitask_ckpt,4317.644692897797,0.5441825441005914,0.30510999750662643,0.4177965007539389,0.15574109780669596,0.3797098865839257,0.1945010183299389,0.11333484951861117,0.07028710725893825,1.0,1.0872377537671398,44879.0,41278.0,34.26782212197006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
vinai/bartpho-word,vinai/bartpho-word,end2end,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_word_end2end_ckpt,2641.1311581134796,0.41199431467653197,0.14213914125529445,0.2932643153959327,0.060908751548058776,0.23327575191083555,0.07872544563954956,0.03672232295077531,0.02040816326530612,1.0,1.0237656863220117,42259.0,41278.0,20.796415878812798,0.23197056796237397,0.10812624259598125,0.19368582900956927,0.09104258842710194,0.12147696965328336,0.09048456317471121,0.08137410643367753,0.07681105147089419,1.0,2.024516599781102,55492.0,27410.0,22.68330548363683,0.8744817188088956,1.0
